Play,Closest play Spacy,Closest distance Spacy,Closest play Manual,Closest distance Manual,Closest play with stopwords,Closest distance with stopwords,All agree,Stopwords agree,Same author Manual or Spacy,Same author Manual,Same author with stopwords
la-thuilerie-hercule,thibouville-thelamire,0.0041,lagrange-chancel-meleagre,0.006,lagrange-chancel-meleagre,0.0018,FALSE,FALSE,FALSE,FALSE,FALSE
corneillep-menteur,corneillep-suite-menteur,0.004,moliere-etourdi,0.0061,corneillep-suite-menteur,0.0018,FALSE,FALSE,TRUE,FALSE,TRUE
scarron-marquis-ridicule,scarron-jodelet-dueliste,0.0054,corneillet-dom-bertran-de-cigarral,0.0067,corneillet-engagements-du-hasard,0.0018,FALSE,FALSE,TRUE,FALSE,FALSE
corneillet-mort-annibal,corneillep-othon,0.0069,corneillet-persee-demetrius,0.0068,corneillep-sertorius,0.0018,FALSE,FALSE,FALSE,TRUE,FALSE
regnard-folies-amoureuses,regnard-menechmes,0.0053,regnard-legataire,0.0087,regnard-democrite,0.0018,FALSE,FALSE,TRUE,TRUE,TRUE
regnard-democrite,gillet-francion,0.0068,regnard-folies-amoureuses,0.0088,regnard-legataire,0.0018,FALSE,FALSE,FALSE,TRUE,TRUE
corneillep-sophonisbe,corneillep-sertorius,0.0037,corneillep-othon,0.004,corneillep-sertorius,0.0019,FALSE,FALSE,TRUE,TRUE,TRUE
corneillet-timocrate,corneillet-persee-demetrius,0.004,corneillet-persee-demetrius,0.0054,corneillet-berenice,0.0019,FALSE,TRUE,TRUE,TRUE,TRUE
corneillet-berenice,corneillet-darius,0.004,corneillet-darius,0.0059,corneillet-timocrate,0.0019,FALSE,TRUE,TRUE,TRUE,TRUE
crebillon-semiramis,deshoulieres-genseric,0.0042,deshoulieres-genseric,0.006,crebillon-rhadamisthe,0.0019,FALSE,TRUE,FALSE,FALSE,TRUE
lagrange-chancel-amasis,lagrange-chancel-meleagre,0.0058,du-ryer-clitophon,0.0079,lagrange-chancel-meleagre,0.0019,FALSE,FALSE,TRUE,FALSE,TRUE
chamfort-mustapha-zeangir,palissot-ninus,0.0051,voltaire-adelaide,0.0081,legouve-attilie,0.0019,FALSE,FALSE,FALSE,FALSE,FALSE
sophocle-electre,sophocle-oedipe-roi,0.005,sophocle-antigone,0.0083,sophocle-oedipe-a-colone,0.0019,FALSE,FALSE,TRUE,TRUE,TRUE
legouve-attilie,chabanon-eudoxie,0.0056,chamfort-mustapha-zeangir,0.0083,chamfort-mustapha-zeangir,0.0019,FALSE,FALSE,FALSE,FALSE,FALSE
marivaux-epreuve,marivaux-ecole-des-meres,0.005,marivaux-ecole-des-meres,0.0093,marivaux-ecole-des-meres,0.0019,TRUE,TRUE,TRUE,TRUE,TRUE
sophocle-oedipe-a-colone,sophocle-oedipe-roi,0.0064,sophocle-electre,0.0094,sophocle-electre,0.0019,FALSE,FALSE,TRUE,TRUE,TRUE
baro-prince-fugitif,baro-clarimonde,0.0043,baro-clarimonde,0.01,baro-parthenie,0.0019,FALSE,TRUE,TRUE,TRUE,TRUE
rotrou-agesilan,rotrou-belle-alphrede,0.0032,rotrou-belle-alphrede,0.0039,rotrou-belle-alphrede,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
rotrou-belle-alphrede,rotrou-agesilan,0.0032,rotrou-agesilan,0.0039,rotrou-agesilan,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
moliere-tartuffe,moliere-misanthrope,0.0032,moliere-misanthrope,0.0041,moliere-ecole-des-femmes,0.002,FALSE,TRUE,TRUE,TRUE,TRUE
rotrou-l-heureuse-constance,rotrou-les-occasions-perdues,0.0038,rotrou-les-occasions-perdues,0.0041,rotrou-les-occasions-perdues,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
rotrou-les-occasions-perdues,rotrou-l-heureuse-constance,0.0038,rotrou-l-heureuse-constance,0.0041,rotrou-l-heureuse-constance,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
moliere-ecole-des-femmes,moliere-etourdi,0.0029,moliere-etourdi,0.0043,moliere-tartuffe,0.002,FALSE,TRUE,TRUE,TRUE,TRUE
rotrou-la-diane,rotrou-cleagenor,0.0048,rotrou-cleagenor,0.0044,rotrou-amelie,0.002,FALSE,TRUE,TRUE,TRUE,TRUE
corneillep-surena,corneillep-tite,0.0039,corneillep-tite,0.0045,corneillep-don-sanche,0.002,FALSE,TRUE,TRUE,TRUE,TRUE
corneillep-tite,corneillep-surena,0.0039,corneillep-surena,0.0045,corneillep-sertorius,0.002,FALSE,TRUE,TRUE,TRUE,TRUE
dancourt-cephale-procris,dancourt-metempsychose,0.0033,dancourt-metempsychose,0.0046,dancourt-metempsychose,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
dancourt-metempsychose,dancourt-cephale-procris,0.0033,dancourt-cephale-procris,0.0046,dancourt-cephale-procris,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
rotrou-amelie,rotrou-celiane,0.0034,rotrou-la-celimene,0.0047,rotrou-la-diane,0.002,FALSE,FALSE,TRUE,TRUE,TRUE
corneillet-ariane,corneillet-antiochus,0.0044,corneillet-theodat,0.0055,corneillet-theodat,0.002,FALSE,FALSE,TRUE,TRUE,TRUE
du-ryer-lisandre-caliste,du-ryer-clitophon,0.004,du-ryer-clitophon,0.0062,baro-saint-eustache,0.002,FALSE,TRUE,TRUE,TRUE,FALSE
baro-saint-eustache,desfontaines-saint-genest,0.0041,baro-parthenie,0.0065,du-ryer-lisandre-caliste,0.002,FALSE,FALSE,FALSE,TRUE,FALSE
